"Date","Record Number","Record Type","Address","Description","Permit Name","Status","Short Notes",
"01/15/2016","BA-201600262","Arborist Illegal Activity","2084 DEKALB AVE NE, ATLANTA GA 30307","Illegal Tree Activity:1.) Water Oak, 18"" dbh, located front left of property.2.) Water Oak, 19"" dbh, located front right of property.3.) Dogwood, 12"" dbh, located front right of property.Dogwood removed without tree removal permit; Water Oaks impacted during construction.","Illegal Tree Activity","Issued",,
"01/14/2016","BA-201600243","Arborist Illegal Activity","292 GORDON AVE NE, ATLANTA GA 30307","Illegal Tree Removal:1.) Unknown, 12"" dbh, located center of lot.2.) Unknown, 12"" dbh, located front center of lot.Tree removed without approved tree removal permit.","Illegal Tree Removal","Issued",,
"01/13/2016","BA-201600213","Arborist Illegal Activity","2783 GRAND AVE SW, ATLANTA GA 30315","Illegal Tree Removal:1.) Pine, 14"" dbh, located back left of property.2.) Magnolia, 15"" dbh, located back center of property.Tree(s) removed without tree removal permit.","Illegal Tree Activity","Assigned",,
"12/22/2015","BA-201508374","Arborist Illegal Activity","657 CRESTHILL AVE NE, ATLANTA GA 30306","No tree protection fence","No tree protection fence","Closed",,
"12/15/2015","BA-201508206","Arborist Illegal Activity","2080 DEKALB AVE NE, ATLANTA GA 30307","Illegal Tree Activity:1.) Water Oak, 19"" dbh, located front left of property.2.) Water Oak, 20"" dbh, located front right of property.Critical root zone/structural roots severed due to construction and building retaining wall.","Illegal Tree Activity","Assigned",,
"12/14/2015","BA-201508188","Arborist Illegal Activity","174 THE PRADO NE, ATLANTA GA 30309","construction impact to 45 "" sycamore","tree impact","Fine",,
"12/08/2015","BA-201508052","Arborist Illegal Activity","1717 MONROE DR NE, ATLANTA GA 30324","Unpermitted removal of two pines in the rear yard. Diameters unknown.","Illegal Removal","Fine",,
"12/08/2015","BA-201508063","Arborist Illegal Activity","2801 MEMORIAL DR SE, ATLANTA GA 30317","Illegal Tree Activity:1.) Pine, 23"" dbh, located front left of property - approx. 2' ft. - 3' ft. alongside construction of sidewalk. Structural roots severed during construction.Issuing to construction manager, David Reed.","Illegal Tree Activity","Assigned",,
"12/08/2015","BA-201508064","Arborist Illegal Activity","2851 MEMORIAL DR SE, ATLANTA GA 30317","Illegal Tree Activity:1. ) Post Oak, 16"" dbh, located front center of property - approx. 2' ft. - 3' ft. alongside construction of sidewalk. Structural roots severed during construction.Issuing to construction manager, David Reed.","Illegal Tree Activity","Assigned",,
"11/13/2015","BA-201507512","Arborist Illegal Activity","70 MADDOX DR NE, ATLANTA GA 30309","Removal of at least one 14"" hardwood on right side in back yard.","Tree removal","Fine",,
"11/09/2015","BA-201507399","Arborist Illegal Activity","61 WEATHERBY ST SE, ATLANTA GA 30316","Illegal Tree Removal:1.) 6 trees located in the back of property removed without permit; trees were intended to be protected/saved per plans.Contractor: Regal Custom Homes, contact Stephen Russell at russ4221@gmail.com 770-231-9098","Illegal Tree Removal","Assigned",,
"10/13/2015","BA-201506748","Arborist Illegal Activity","145 NORWOOD AVE NE, ATLANTA GA 30317","Illegal Tree Removal:1.) Pecan, 17"" dbh, located back right of property. Tree removed without Orange X2.) Pecan, 18"" dbh, located back right of property. Tree removed without Orange X","Illegal Activity","Assigned",,
"10/09/2015","BA-201506629","Arborist Illegal Activity","724 OAKLAND AVE SE, ATLANTA GA 30315","Illegal Tree Removal:1.) Unknown, 9"" diameter at breast height, located back rightside of property.Tree removed from site without permit.","Illegal Tree Removal","Fine",,
"10/06/2015","BA-201506463","Arborist Illegal Activity","5 EAST LAKE DR NE, ATLANTA GA 30317","Illegal Tree Removal:1.) Water Oak, 14"" dbh, located back leftside of property.Tree removed without posting or permit.","Illegal Tree Removal","Assigned",,
"10/06/2015","BA-201506522","Arborist Illegal Activity","505 ETHEL ST NW, ATLANTA GA 30318","Illegal removal of trees in rear.","Illegal Removal","Closed - No Violation Found",,
"10/01/2015","BA-201506392","Arborist Illegal Activity","47 INTERLOCHEN DR NE, ATLANTA GA 30342","Illegal removal of 10 trees that total 133 diameter inches.","Illegal Activity","Fine",,
"09/30/2015","BA-201506353","Arborist Illegal Activity","811 BELGRADE AVE NE, ATLANTA GA 30306","Retaining wall built without permit. Check for tree impacts and removals.","investigation","Closed - No Violation Found",,
"09/29/2015","BA-201506312","Arborist Illegal Activity","1602 PEACHTREE BATTLE AVE NW, ATLANTA GA 30327",,"Complaint/Investigation","Pending - Illegal Activity",,
"09/29/2015","BA-201506313","Arborist Illegal Activity","1602 PEACHTREE BATTLE AVE NW, ATLANTA GA 30327","Illegal Activity","Illegal Activity","Open",,
"09/25/2015","BA-201506228","Arborist Illegal Activity","301 CENTRAL PARK PL NE, ATLANTA GA 30312","Illegal Tree Removal:1.) River Birch, 22"" dbh, located front center of Building 500.2.) Unknown, 28"" dbh, located back left of Biulding 500.3.) Water Oak, 65"" dbh, located front left of Building 800.Trees removed without approved tree removal permit.","Illegal Tree Removal","Closed - Illegal Activity",,
"09/14/2015","BA-201505870","Arborist Illegal Activity","225 MAYSON AVE NE, ATLANTA GA 30307","Illegal Tree Removal","Illegal Tree Removal","Assigned",,
"09/08/2015","BA-201505730","Arborist Illegal Activity","869 AMSTERDAM AVE NE, ATLANTA GA 30306",,"Complaint","Pending - Illegal Activity",,
"09/08/2015","BA-201505731","Arborist Illegal Activity","869 AMSTERDAM AVE NE, ATLANTA GA 30306","Illegal destruction of structural root plate on a 33"" White Oak located at the front left corner.","Illegal Activity","Assigned",,
"09/04/2015","BA-201505686","Arborist Illegal Activity","915 WOODLAND AVE SE, ATLANTA GA 30316","Illegal Tree Removal:1.) Pine, 37"" dbh, located far back right of property.2.) Pine, 19"" dbh, located far back center of property.3.) Cherry, 17"" dbh, located far back center of property.4.) Cherry, 11"" dbh, tree significantly damaged; appears during tree removal.","Illegal Tree Removal","Assigned",,
"09/04/2015","BA-201505689","Arborist Illegal Activity","268 PINELAND RD NW, ATLANTA GA 30342","illegal activity","illegal activity","Open",,
"09/04/2015","BA-201505694","Arborist Illegal Activity","4315 LAKEHAVEN DR NE, ATLANTA GA 30319","Illegal removal of:26"" Pine54"" Pine24"" Magnolia24"" Magnolia","Illegal Activity","Fine",,
"08/24/2015","BA-201505301","Arborist Illegal Activity","1811 LANGSTON AVE SW, ATLANTA GA 30310","Illegal Tree Removal:1.) Red Oak, 42"" diameter at breast height, located back center of property.Tree removed from property without approved tree removal permit.","Illegal Tree Removal","Assigned",,
"08/24/2015","BA-201505305","Arborist Illegal Activity","1125 NORTH SHORE DR SW, ATLANTA GA 30311","Illegal Tree Removal:1.) Magnolia, 11"" dbh, located front left of property.2.) Red Oak, 35"" dbh, located front leftside of property.Trees removed from property without approved tree removal permit.","Illegal Tree Removal:","Assigned",,
"08/19/2015","BA-201505156","Arborist Illegal Activity","3285 WEST ROXBORO RD NE, ATLANTA GA 30324","Illegal removal of: 19"" Magnolia at front left. 11"" Dogwood at front steps.","Illegal Activity","Fine",,
"08/12/2015","BA-201504952","Arborist Illegal Activity","2174 RANDO LN NW, ATLANTA GA 30318","Illegal RemovalThere  is  a concern in regards of a tree that was in the front yard of the property located at 2174 Rando Lane, SW, that was illegally removed on 8/11/15.  Please investigate this matter.  If you need pictures of the tree before and after they are available through the neighbor that witnessed the illegal activity.  You can contact Mr. Cargal for the pictures at 404 328-6068 9/1/15 - by K. Evans.   Homeowner provided signed contract/receipt from Metro Tree and Excavation showing that they took responsibility for obtaining all permits.  Per J. Rivera, Mr. Cecil McCrary of Metro Tree paid fine/fees on 9/10/15.","Illegal Removal","Assigned",,
"08/10/2015","BA-201504827","Arborist Illegal Activity","749 PONCE DE LEON TER NE, ATLANTA GA 00000","Illegal destruction of a 30"" Maple located at the front right of the property.","Illegal Activity","Fine",,
"08/05/2015","BA-201504702","Arborist Illegal Activity","3491 DALE LN SW, ATLANTA GA 30331","Illegal Activity/Removal:1.) Pine, 18"" dbh, located front right of property.2.) Pine, 17"" dbh, located front center of property.Trees removed without approval - tree permit; denied prior.","Illegal Activity/Removal","Assigned",,
"07/28/2015","BA-201504444","Arborist Illegal Activity","950 PROSPECT AVE SE, ATLANTA GA 30316","Illegal Activity/Tree Removal:1.) Tulip Poplar, 61"" (stump), located back leftside of property.Tree was removed from site without tree removal permit.","Illegal Activity/Tree Removal:","Assigned",,
"07/28/2015","BA-201504449","Arborist Illegal Activity","954 PROSPECT AVE SE, ATLANTA GA 30316","Illegal Activity/Tree Removal:1.)  White Oak, 59"" (stump), located front right of property.2.) Tulip Poplar, 50"" (stump), located rightside of property.3.) Tulip Poplar, 33"" (stump), located rightside of property.4.) Red Oak, 28"" (stump), located back right of property.Trees were removed from site without a tree removal permit.","Illegal Activity/Tree Removal:","Assigned",,
"07/24/2015","BA-201504346","Arborist Illegal Activity","442 HAROLD AVE NE, ATLANTA GA 30307","Illegal destruction of a 40"" White Oak critical root zone beyond the allowed limits. Tree is located at the front left.","Illegal Activity","Assigned",,
"07/22/2015","BA-201504324","Arborist Illegal Activity","1356 OAKCREST DR SW, ATLANTA GA 30311","Illegal Removal/Destruction:1.) Weeping Cherry, 35"" diameter at breast height, located front right of the property. Tree has multiple leads stemming from base; more than 20% of the canopy removed.","Illegal Removal/Destruction","Assigned",,
"07/13/2015","BA-201504099","Arborist Illegal Activity","1889 MOORES MILL RD NW, ATLANTA GA 30318","Removed two trees without permit","illegal tree removal","Open",,
"07/02/2015","BA-201503959","Arborist Illegal Activity","892 MARION AVE SE, ATLANTA GA 30312","Illegal Tree Removal:1.) Hardwood, 22"" dbh, located back leftside of property.Tree removed without permit.","Illegal Tree Removal","Assigned",,
"06/29/2015","BA-201503876","Arborist Illegal Activity","220 LAKEVIEW AVE NE, ATLANTA GA 30305","see if trees were illegally removed","site inspection","Open",,
"06/25/2015","BA-201503782","Arborist Illegal Activity","647 STOKESWOOD AVE SE, ATLANTA GA 30316","Illegal Tree Removal:1.) Sweetgum, 10"" dbh, located back right of property.2.) White Oak, 35"" dbh, located back left of property.3.) White Oak, 44"" dbh, located back right of property.4.) White Oak, 30"" dbh, located back left of property.","Illegal Tree Removal","Assigned",,
"06/19/2015","BA-201503622","Arborist Illegal Activity","350 EUREKA DR NE, ATLANTA GA 30305","Illegal Removal of a River Birch of unknown diameter.","Illegal Activity","Fine",,
"06/18/2015","BA-201503572","Arborist Illegal Activity","545 ELMWOOD RD NW, ATLANTA GA 30318","Illegal Tree Removal:1.) Water Oak, 10"" diameter at breast height, located rightside of residence.Tree removed without a permit.","Illegal Tree Removal","Assigned",,
"06/10/2015","BA-201503360","Arborist Illegal Activity","831 CLIFTON RD SE, ATLANTA GA 30316","Illegal Tree Removal","Illegal Tree Removal","Assigned",,
"06/03/2015","BA-201503174","Arborist Illegal Activity","480 BELL AVE SE, ATLANTA GA 00000","Illegal Removal:1.) Hardwood, 20"" diameter at breast height, located back left of property. Plans show tree as saved, tree removed without permit.","Illegal Removal","Assigned",,
"05/29/2015","BA-201503071","Arborist Illegal Activity","3433 LYNFIELD DR SW, ATLANTA GA 30311","Illegal Tree Removal:1.) Pine, 30"" diameter at breast height, located front center of property.Tree removed without approved tree removal permit.","Illegal Tree Removal","Assigned",,
"05/28/2015","BA-201503061","Arborist Illegal Activity","989 DREWRY ST NE, ATLANTA GA 30306","Illegal destruction of: 15"" Hackberry located a the rear left property line. Structural root plate damaged by construction.","Illegal Activity","Fine",,
"05/18/2015","BA-201502874","Arborist Illegal Activity","871 PENN AVE NE, ATLANTA GA 30309","Illegal removal of one tree located at the front right. Magnolia of unknown diameter.","Illegal Removal","Fine",,
"05/14/2015","BA-201502781","Arborist Illegal Activity","402 DECKNER AVE SW, ATLANTA GA 30310","Illegal Tree Removal1.) Red Oak, 35"" diameter at breast height, located front right of property.Tree removed without tree removal permit.Tree Company:   Capitol Tree Service, Charles Edge  P.O Box 1475, Red Oak, GA 30272","Illegal Tree Removal","Assigned",,
"05/12/2015","BA-201502652","Arborist Illegal Activity","2161 SPINK ST NW, ATLANTA GA 30318","illegal activity","illegal activity","Assigned",,
"05/11/2015","BA-201502651","Arborist Illegal Activity","2146 ABNER PL NW, ATLANTA GA 30318","ddh","ddh","Open",,
"04/29/2015","BA-201502413","Arborist Illegal Activity","3849 CLUB DR NE, ATLANTA GA 30319","Illegal Removal of a 24"" Pine at the rear right.","Illegal Activity","Assigned",,
"04/28/2015","BA-201502338","Arborist Illegal Activity","2032 HATTERAS WAY, ATLANTA GA 30318","Illegal RemovalThere is a concern that trees are being removed illegally on the property located at 2032 Hatters Way.  Please investigate this matter.","Illegal Removal","Assigned",,
"04/24/2015","BA-201502278","Arborist Illegal Activity","890 COURTENAY DR NE, ATLANTA GA 30306","Two trees removed without a permit.","Illegal Activity","Assigned",,
"04/23/2015","BA-201502221","Arborist Illegal Activity","600 VIRGINIA AVE NE, ATLANTA GA 30306","Illegal pruning of two trees within the front entrance area. Trees were topped and more than 20% of the living canopy was removed.","Illegal Activity","Assigned",,
"04/22/2015","BA-201502178","Arborist Illegal Activity","3318 EAST WOOD VALLEY RD NW, ATLANTA GA 30327","illegal removal","illegal removal","Assigned",,
"04/22/2015","BA-201502183","Arborist Illegal Activity","830 JOSEPH E LOWERY BLVD NW, ATLANTA GA 30318","illegal activity","illegal activity","Assigned",,
"04/22/2015","BA-201502200","Arborist Illegal Activity","1411 PEACHTREE BATTLE AVE NW, ATLANTA GA 30327","Illegal RemovalThere is a concern that there has been two illegal removals on this property.","Illegal Removal","Assigned",,
"04/21/2015","BA-201502159","Arborist Illegal Activity","2521 LAUREL CIR NW, ATLANTA GA 30311","Illegal Removal/Destruction:1. Maple, 9"" diameter at breast height, located front center of property.","Illegal Removal/Destruction","Assigned",,
"04/21/2015","BA-201502164","Arborist Illegal Activity","486 OLD WHEAT ST NE, ATLANTA GA 30312","Illegal Tree Removal/Destruction:1.) Hackberry, 16"" dbh, located back rightside of property.2.) Mulberry, 20"" dbh, located back rightside of property.3.) Hickory, 25"" dbh, located back rightside of property.","Illegal Tree Removal/Destruction","Assigned",,
"04/20/2015","BA-201502145","Arborist Illegal Activity","1217 BARNES ST NW, ATLANTA GA 30318","Illegal Removal","Illegal Removal","Closed - No Violation Found",,
"04/16/2015","BA-201502088","Arborist Illegal Activity","1277 WEST NORTH AVE NW, ATLANTA GA 30318","Illegal Acitvity - Illegal Tree Removal1.) Unknown species, unknown diameter at breast height, located front leftside of property.2.) Unknown species, unknown diameter at breast height, located front leftside of property.Tree removed from site without tree removal permit.","Illegal Activity - Illegal Tree Removal","Open",,
"04/10/2015","BA-201501940","Arborist Illegal Activity","2279 HOSEA L WILLIAMS DR SE, ATLANTA GA 30317","Illegal Activity - Illegal Tree Removal1. ) Red Oak, 40"" diameter at breast height, located rightside of residence.Tree removed without permit.","Illegal Activity - Illegal Tree Removal","Assigned",,
"04/10/2015","BA-201501943","Arborist Illegal Activity","3410 FAIRBURN RD SW, ATLANTA GA 30331","Illegal Activity - Illegal Tree Removal          Tree Service  Mr. Jay Gibson  678-732-72701.) Pine, 18"" dbh, located back right of property.2.) Pine, 20"" dbh, located back right of property.3.) Sweetgum, 22"" dbh, located back right of property.4.) Pine, 22"" dbh, located back right of property.5.) Pine, 15"" dbh, located rightside of property.6.) Pine, 13"" dbh, located rightside of property.7.) Pine, 18"" dbh, located rightside of property.8.) Cherry, 16"" dbh, located rightside of property.Trees removed with out permits.","Illegal Activity - Illegal Tree Removal","Assigned",,
"04/08/2015","BA-201501887","Arborist Illegal Activity","2240 HOSEA L WILLIAMS DR NE, ATLANTA GA 30317","Illegal Activity - Illegal Tree Removal1.) Water Oak, 35"" diameter at breast height, located front left of property.Tree removed without permit.","Illegal Activity - Illegal Tree Removal","Assigned",,
"04/08/2015","BA-201501891","Arborist Illegal Activity","966 ORMEWOOD AVE SE, ATLANTA GA 30316","Illegal Activity - Illegal Tree Removal1.) Pine, 20"" dbh, located center of property.2.) Oak, 20"" dbh, rightside of property.Trees removed without permit.","Illegal Activity - Illegal Tree Removal","Assigned",,
"04/07/2015","BA-201501853","Arborist Illegal Activity","1775 ALVARADO TER SW, ATLANTA GA 30310","Illegal Activity/Removal of Trees1.) Unknown species, 10"" diameter at breast height, located approx. 30' from the back fence.2.) Pecan, 10"" diameter at breast height, located along back fenceline.Both trees removed without permits.","Illegal Activity/Removal of Trees","Assigned",,
"04/03/2015","BA-201501788","Arborist Illegal Activity","578 RANKIN ST NE, ATLANTA GA 30308","Illegal Activity/Destruction:1.) Water Oak, 36"" diameter at breast height, located back leftside of property.Note, patio installed below deck; plans do not reflect construction of concrete patio. The structural roots of the Water Oak, 36"" located back leftside of property were severed and critical root zone impacted.","Illegal Activity/Destruction","Assigned",,
"04/03/2015","BA-201501795","Arborist Illegal Activity","2175 SPINK ST NW, ATLANTA GA 30318","illegal removal of 4 trees","illegal removal of 4 trees","Closed - Illegal Activity",,
"04/01/2015","BA-201501743","Arborist Illegal Activity","1793 FLAGLER AVE NE, ATLANTA GA 30309","Illegal destruction of more than 33% of the critical root zone and structural root plate impaction. 24"" Pine - Rear behind detached garage. 26"" Pine - Rear left.","Illegal Activity","Fine",,
"03/31/2015","BA-201501708","Arborist Illegal Activity","103 NATHAN RD SW, ATLANTA GA 30331","Illegal Tree Removal;Dogwood, 10"" diameter at breast height, located front center of property.Tree removed without permit.","Illegal Tree Removal","Assigned",,
"03/26/2015","BA-201501630","Arborist Illegal Activity","478 DELMONT DR NE, ATLANTA GA 30305","Illegal removal of:24"" Pine6"" Dogwood","Illegal Activity","Fine",,
"03/24/2015","BA-201501576","Arborist Illegal Activity","2270 PERKERSON RD SW, ATLANTA GA 30315","Illegal Tree Removal;Trees removed without permit across entire property of 2270 Perkerson Rd. SW and along property boundary with 2262 Perkerson Road SW; appears trees may have been removed from 2262 Perkerson Rd. SW in the area of land between the two driveways.Edward Robertson 404-925-1135","Illegal Activity","Assigned",,
